channel,time,status,program,pitch,velo
1,21978,Note_off_c,0,54,100
1,21978,Note_off_c,0,57,100
1,22080,Note_on_c,0,59,100
1,22080,Note_on_c,1,65,100
1,22098,Note_off_c,0,59,100
1,22098,Note_off_c,1,65,100
1,22200,Note_on_c,0,53,100
1,22218,Note_off_c,0,53,100
1,22320,Note_on_c,0,62,100
1,22320,Note_on_c,1,61,100
1,22338,Note_off_c,0,62,100
1,22338,Note_off_c,1,61,100
1,22440,Note_on_c,0,57,100
1,22458,Note_off_c,0,57,100
1,22560,Note_on_c,0,54,100
1,22560,Note_on_c,1,62,100
1,22578,Note_off_c,0,54,100
1,22578,Note_off_c,1,62,100
1,22680,Note_on_c,0,55,100
1,22680,Note_on_c,0,62,100
1,22698,Note_off_c,0,55,100
1,22698,Note_off_c,0,62,100
1,22800,Note_on_c,0,54,100
1,22800,Note_on_c,0,56,100
1,22818,Note_off_c,0,54,100
1,22818,Note_off_c,0,56,100
1,22920,Note_on_c,0,54,100
1,22920,Note_on_c,0,58,100
1,22938,Note_off_c,0,54,100
1,22938,Note_off_c,0,58,100
1,23040,Note_on_c,0,57,100
1,23040,Note_on_c,1,63,100
1,23058,Note_off_c,0,57,100
1,23058,Note_off_c,1,63,100
1,23160,Note_on_c,0,53,100
1,23178,Note_off_c,0,53,100
1,23280,Note_on_c,0,57,100
